ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs,Gloss_POS,Lexical_Entries
XV000577,sid,kʼarʧʼe buna hirattoni?,kʼarʧʼ\t-e\tbun\t-a\thir\t-atto\t-ni\t?,coffee\tACC\tcoffee\tACC\tsell\tIMPF.2M\tINT\t,Do you sell crude coffee? (not yet red),,,IV 23-4,,SN001919,n\tn:Any\tn\tn:Any\tv\tv:Any\tinterrogative\t,kʼarʧʼe\t-e 2\tbuna\t-a 1\thiri\t-atto\t-ni 1\t
XV000578,sid,karreno giira kʼansaraati,kar\t-ne\t-no\tgiir\t-a\tkʼas\t-na\t-ra\t-a\t-ti,spread\tCVB.US\tand\tfire\tACC\tput into\tPINF.US\tDAT\tEV\tCOP,"Having laid it down, one will put it into fire",,,VII 54-5,,SN001921,v\tv:Any\tconjunction\tn\tn:Any\tv\tv:Any\tcase\tAttaches to any category\tcopula,kari\t-ne 3\t-no 1\tgiira\t-a 1\tkʼasi\t-na 3\t-ra 1\t-V\t-ti 1
XV000579,sid,kʼale kʼasiʔneemmo,kʼal\t-e\tkʼasiʔ\t-neemmo,wheel\tACC\tplay\tIMPF.1PL,"We play Kale (""the rings"")",,,VII 1-4,,SN001921,n\tn:Any\tv\tv:Any,kʼale\t-e 2\tkʼasiɗi\t-neemmo 2
XV000580,sid,ʔisi baiʧʧo wole kʼanso,ʔis\t-i\tbaiʧʧ\t-o\twol\t-e\tkʼas\t-no,3K\tNOM\tplace\tACC\tother\tACC\tsubstitute\tJUSS.1PL,Let´s substitute him with another,,,III 54A-5,,SN001923,pro\tn:Any\tn\tn:Any\tadjective\tn:Any\tv\tv:Any,ʔise 2\t-i 5\tbaiʧʧo 2\t-o 1\twole\t-e 2\tkʼasi\t-no 4
XV000581,sid,lobo manni doogote kʼaʧʼʧʼera ʔuurrite ...,lob\t-o\tmann\t-i\tdoogo\t-te\tkʼaʧʼʧʼe\t-ra\tʔuurr\t-i\t-te\t...,many\tNOM\tpeople\tGEN.MOD\troad\tGEN.U\tneighborhood\tDAT\tstand\tEV\tCVB.3T\t,As many people were standing along the road ...,,,V 9-1,,SN001932,adjective\tn:Any\tn\tn:Any\tn\tcase\tn\tcase\tv\tAttaches to any category\tv:Any\t,lobo\t-o 2\tmanna\t-i 4\tdoogo\t-te 4\tkʼaʧʼʧʼe\t-ra 1\tʔuurri\t-V\t-te 3\t
XV000582,sid,kʼapʼpʼinummoro kʼatʼtʼaʔammemmo,kʼapʼpʼ\t-i\t-nummo\t-ro\tkʼatʼtʼaʔamm\t-eemmo,lie\tEV\tPRF.1PL\tCOND\tbe_punished\tIMPF.1PL,"If we tell lies, we shall be punished",,,II 35-1,,SN001935,v\tAttaches to any category\ttam\tsubordinator\tv\tv:Any,kapʼpʼi\t-V\t-nummo\t-ro\tkʼatʼtʼaʔami\t-eemmo
XV000583,sid,bebba ʔassinoʔeha kʼatʼtʼaʔemmo,beebb\t-a\tʔass\t-ino\t-ʔe\t-ha\tkʼatʼtʼaʔ\t-eemmo,sin\tACC\tdo\tPST.IMPF.3K\t1SG.ACC/DAT\tNR.K.ACC\tpunish\tIMPF.1SG.M,I will punish the one who wronged me,,,II 35-2,,SN001936,n\tn:Any\tv\tv:Any\tPronoun\tv>n\tv\tv:Any,beebba\t-a 1\tʔassi\t-ino\t-ʔe\t-ha\tkʼatʼtʼaʔi\t-eemmo
XV000584,sid,ʔumoonke kʼeellanni,ʔum\t-o\t-nke\tkʼeel\t-na\t-nni,self\tACC\t1PL.ACC/DAT\twin_over\tPART.1PL\tABL,Controlling (lit. winning over) ourselves,,,III 11-2,,SN001940,n\tn:Any\tPronoun\tv\tv:Any\tcase,ʔumo\t-o 1\t-nke 2\tkʼeeli\t-na 3\t-nni 1
XV000585,sid,ʔisi kʼegeho,ʔis\t-i\tkʼeg\t-e\t-ho,3K\tNOM\tsbdy_guilty_of_killing_a_relative\tACC\tDAT.U,"He is untouchable (mostly because he has killed somebody: don't talk to him, don't eat with him)",,,XIII 21-8,,SN001947,pro\tn:Any\tn\tn:Any\tcase,ʔise 2\t-i 5\tkʼege\t-e 2\t-ho 1
XV000586,sid,kʼiidaado wa,kʼiidaad\t-o\twa,cold\tACC\twater,cold water,,,III 2-2,,SN001950,adjective\tn:Any\tn,kʼiidaado\t-o 1\twa
XV000587,sid,kʼilleessa hakʼkʼete daro milli ʔassanni no,kʼilleess\t-a\thakʼkʼi\t-e\t-te\tdar\t-o\tmilli ʔass\t-a\t-nni\tno,breeze\tACC\ttree\tOBL\tGEN.U\tleaves\tACC\tmove_(tr)\tPART\tABL\texist,The breeze is moving the leaves of the trees,,,IV 40-3,,SN001955,n\tn:Any\tn\tn:Any\tcase\tn\tn:Any\tv\tv:Any\tcase\tv,kʼilleessa\t-a 1\thakʼkʼi\t-e 5\t-te 4\tdaro\t-o 1\tmilli ʔassi\t-a 7\t-nni 1\tno
XV000588,sid,kʼiniitinoʔe,kʼiniit\t-ino\t-ʔe,right_(opp._left)\tPRF.3K\t1SG.ACC/DAT,It suited me,,,IX 17-2,,SN001964,n\tv:Any\tPronoun,kʼiniite\t-ino\t-ʔe
XV000589,sid,hatto ye kʼiniitiʧʧi ʔanganni ʔamadisi,hatt\t-o\ty\t-e\tkʼiniitiʧʧ\t-i\tʔang\t-a\t-nni\tʔamad\t-i\t-si,like_that\tACC\tsay\tCVB.3K\tright_(opp._left)\tOBL\thand\tOBL\tABL\ttouch\tPRF.3K\t3K.ACC/DAT,Having said that he grasped him with his right hand,,,"(XIII) Acts 3, 7",,SN001965,pro\tn:Any\tv\tv:Any\tadjective\tn:Any\tn\tn:Any\tcase\tv\tv:Any\tn:Any,hatto\t-o 1\tyi\t-e 3\tkʼiniitiʧʧo\t-i 1\tʔanga\t-a 4\t-nni 1\tʔamadi\t-í\t-si 2
XV000590,sid,galagalte kʼiʃʃe laʔʔanno,galagal\t-te\tkʼiʃ\t-te\tlaʔ\t-tanno,repeat_an_action_(itr)\tCVB.3T\tsqueeze_(waasa)\tCVB.3T\tsee\tPST.IMPF.3T,"Squeezing it again, she test it",,,VII 7-21,,SN001969,v\tv:Any\tv\tv:Any\tv\tv:Any,galagali\t-te 3\tkʼiʃi\t-te 3\tlaʔi\t-tanno 2
XV000591,sid,seise ʔikkiro kʼiʃiɗɗe ...,se\t-i\t-se\tʔikk\t-i\t-ro\tkʼiʃiɗ\t-te\t...,be_suitable\tPRF.3K\t3T.ACC/DAT\tbecome\tPRF.3K\tCOND\tsqueeze_(waasa)\tCVB.3T\t,"If she finds it ready, she kneads it ...",,,VII 8-1,,SN001970,v\tv:Any\tPronoun\tv\tv:Any\tsubordinator\tv\tv:Any\t,sei\t-í\t-se\tʔikki 1\t-í\t-ro\tkʼiʃiɗi\t-te 3\t
XV000592,sid,sagale kʼitʼtʼeessite kaʔʔe ʔamo,sagal\t-e\tkʼitʼtʼeess\t-i\t-te\tkaʔ\t-te\tʔam\t-o,food\tACC\tprepare\tEV\tCVB.3T\trise\tCVB.3T\tcome!\tIMP.SG,"Come, after you have prepared food",,,II 32-5,,SN001975,n\tn:Any\tv\tAttaches to any category\tv:Any\tv\tv:Any\tv\tv:Any,sagale\t-e 2\tkʼitʼtʼeessi\t-V\t-te 3\tkaʔi\t-te 3\tʔamo\t-i 2
XV000593,sid,dargu seita ʔanfe kaʔne haʔmiʧʧo kʼokkinai,darg\t-u\tsei\t-ta\tʔae\t-nfe\tkaʔ\t-ne\thaʔmiʧʧ\t-o\tkʼokk\t-i\t-nanni,place\tNOM.U\tbe_suitable\tNR.T.ACC\twho\t\trise\tCVB.US\tensete_root\tACC\tpeel\tEV\tIMPF.US,"After seeing that the place is suitable, one peels the root",,,VII 4-17,,SN001981,n\tn:Any\tv\tv>n\tpro\t\tv\tv:Any\tn\tn:Any\tv\tAttaches to any category\tv:Any,darga\t-u 3\tsei\t-ta 1\tʔae 1\t\tkaʔi\t-ne 3\thaʔmiʧʧo\t-o 1\tkʼokʼkʼi\t-V\t-nanni
XV000594,sid,tenne tʼaʔmora kʼola kʼoli,tenn\t-e\ttʼaʔm\t-o\t-ra\tkʼol\t-a\tkʼol\t-i,this\tACC\tquestion\tOBL\tDAT\tanswer\tACC\tanswer\tIMP.SG,Answer this question,,,I 12-9,,SN001984,pro\tn:Any\tn\tn:Any\tcase\tn\tn:Any\tv\tv:Any,tenne\t-e 2\ttʼaʔmo\t-o 3\t-ra 1\tkʼola\t-a 1\tkʼoli\t-i 2
XV000595,sid,godobu kʼookʼinoʔe,godob\t-u\tkʼookʼ\t-ino\t-ʔe,stomach\tNOM.U\thave_an_empty_stomach\tPST.IMPF.3K\t1SG.ACC/DAT,My stomach has shrunk,,,XIII 78-1,,SN001994,n\tn:Any\tv\tv:Any\tPronoun,godoba\t-u 3\tkʼookʼi\t-ino\t-ʔe
XV000596,sid,seemmate kʼoola,seemm\t-a\t-te\tkʼool\t-a,cloth(es)\tOBL\tGEN.U\twing(s)\tACC,the edge of a veil,,,XIII 41-7,,SN001995,n\tn:Any\tcase\tn\tn:Any,seemma\t-a 4\t-te 4\tkʼoola\t-a 1
XV000597,sid,sagale noota kʼore,sagal\t-e\tno\t-o\t-ta\tkʼor\t-e,food\tACC\texist\tEV\tNR.T.ACC\twooden_plate\tACC,A plate with food on it,,,VIII 9-1,,SN002003,n\tn:Any\tv\tAttaches to any category\tv>n\tn\tn:Any,sagale\t-e 2\tno\t-V\t-ta 1\tkʼore\t-e 2
XV000598,sid,kuni maati ʔikka? yitanni kʼortu,kun\t-i\tma\t-a\t-a\t-ti\tʔikk\t-anno\t?\ty\t-i\t-ta\t-nni\tkʼor\t-tu,this\tNOM.MOD\twhat\tACC\tEV\tCOP\tbe_perhaps\tIMPF.3K\t\tsay\tOBL\tPART\tABL\task\tPRF.3T,What might this be? they asked,,,XIII 7-5,,SN002005,pro\tn:Any\tpro\tn:Any\tAttaches to any category\tcopula\tv\tv:Any\t\tv\tn:Any\tv:Any\tcase\tv\tv:Any,konne 2\t-i 3\tma\t-a 1\t-V\t-ti 1\tʔikki 2\t-anno\t\tyi\t-i 1\t-ta 3\t-nni 1\tkʼori\t-tu 2
XV000599,sid,mariiʧʧo kʼorkʼitanni nootto,mariiʧʧo\tkʼorkʼ\t-i\t-ta\t-nni\tno\t-otto,what_specifically?\tcut\tEV\tPART\tABL\tAUX\tPST.IMPF.2M,What are you cutting?,,,VII 22-2,,SN002009,pro\tv\tAttaches to any category\tv:Any\tcase\tv\tv:Any,mariʧʧo 2\tkʼorkʼi\t-V\t-ta 3\t-nni 1\tno\t-ootto
XV000600,sid,hakku baiʧʧi sasu mini kʼorkʼorronnihu noo baiʧʧooti,hakk\t-u\tbaiʧʧ\t-i\tsas\t-u\tmin\t-i\tkʼorkʼor\t-nonni\t-hu\tno\t-o\tbaiʧʧo\t-o\t-ti,that_(medial)\tNOM.U\tplace\tNOM.MOD\tthree\tNOM.U\thouse\tNOM.MOD\tfound_a_house\tPST.IMPF.US\tNR.K.NOM\texist\tEV\tplace\tEV\tCOP,That place is a place where 3 houses are founded,,,VII 28-19,,SN002010,pro\tn:Any\tn\tn:Any\tnumeral\tn:Any\tn\tn:Any\tv\tv:Any\tv>n\tv\tAttaches to any category\tn\tAttaches to any category\tcopula,hakko\t-u 3\tbaiʧʧo 2\t-i 3\tsase\t-u 3\tmine\t-i 3\tkʼorkʼori\t-nonni\t-hu\tno\t-V\tbaiʧʧo 2\t-V\t-ti 1
XV000601,sid,kʼorombonni ʧʼoe,kʼorob\t-nonni\tʧʼo\t-e,be_careful\tPST.IMPF.US\tmatter\tACC,something one is careful not to do (like trespassing on forbidden ground),,,VII 42-1,,SN002013,v\tv:Any\tn\tn:Any,kʼorobi\t-nonni\tʧʼoe\t-e 2
XV000602,sid,konne ʧʼoe loosattokki gede kʼoropʼpʼi,konn\t-e\tʧʼo\t-e\tloos\t-atto\t-kki\tged\t-e\tkʼoropʼpʼ\t-i,this\tACC\tmatter\tACC\twork\tIMPF.2M\tnot\tin_order_to\tACC\tabstain\tIMP.SG,Take care not to do this,,,VII 42-2,,SN002015,pro\tn:Any\tn\tn:Any\tv\tv:Any\tnegativizer\tsubordinator\tn:Any\tv\tv:Any,konne 2\t-e 2\tʧʼoe\t-e 2\tloosi\t-atto\t-kki 1\tgede 4\t-e 2\tkʼoropʼpʼi\t-i 2
XV000603,sid,ʔonte kʼote bootta,ʔont\t-e\tkʼot\t-e\tboott\t-a,five\tACC\tpair_of_oxen_under_yoke\tACC\tcalf_(plural)\tACC,5 pairs of oxen,,,XV 37-19,,SN002020,numeral\tn:Any\tn\tn:Any\tn\tn:Any,ʔoonte\t-e 2\tkʼote 1\t-e 2\tbootta\t-a 1
XV000604,sid,ʔanga kʼoʔlitanno,ʔang\t-a\tkʼoʔl\t-i\t-tanno,hand\tACC\tturn_for_oneself\tEV\tPST.IMPF.3T,You will receive the equivalent (lit. hand will return),,,IX 52-3,,SN002026,n\tn:Any\tv\tAttaches to any category\tv:Any,ʔanga\t-a 1\tkʼoʔli\t-V\t-tanno 2
XV000605,sid,manʧu saadateno kʼultʼuʔmeteno moiʧʧohono ʔaliidiho,manʧ\t-u\tsaad\t-a\t-te\t-no\tkʼultʼuʔm\t-e\t-te\t-no\tmoiʧʧ\t-o\t-ho\t-no\tʔaliidi\t-ho,man\tNOM.U\tcattle\tOBL\tDAT.U\tand\tfish\tOBL\tDAT.U\tand\twild_animal\tOBL\tDAT.U\tand\tsuperior\tCOP,"Man is superior to both cattle, fish and wild animals",,,I 43-8,,SN002039,n\tn:Any\tn\tn:Any\tcase\tconjunction\tn\tn:Any\tcase\tconjunction\tn\tn:Any\tcase\tconjunction\tadjective\tcopula,manʧo\t-u 3\tsaada\t-a 4\t-te 6\t-no 1\tkʼultʼuʔme\t-e 5\t-te 6\t-no 1\tmoiʧʧo\t-o 3\t-ho 1\t-no 1\tʔaliidi\t-ho 2
XV000606,sid,hakkui gedensaanni sikʼkʼuba kʼutʼiʔnanni,hakk\t-u\t-nni\tgedensaanni\tsikʼkʼub\t-a\tkʼutʼiʔ\t-nanni,that_(medial)\tOBL.U\tABL\tafterwards\trod_(plural)\tACC\tsharpen_for_oneself\tIMPF.US,After that one sharpens rods for oneself,,,IV 30-3,,SN002047,pro\tn:Any\tcase\tadverbial\tn\tn:Any\tv\tv:Any,hakko\t-u 1\t-nni 1\tgedensaanni\tsikʼkʼuba\t-a 1\tkʼutʼiɗi\t-nanni
XV000607,sid,teʧʧo ʃiima kʼuupʼpʼe hiɗɗoommo,teʧʧ\t-o\tʃiim\t-a\tkʼuupʼpʼ\t-e\thiɗɗ\t-oommo,today\tACC\ta few\tACC\teggs\tACC\tbuy\tPST.IMPF.1M,Today I have bought a few eggs,,,III 50-10,,SN002048,n\tn:Any\tadjective\tn:Any\tn\tn:Any\tv\tv:Any,teʧʧo\t-o 1\tʃiima\t-a 1\tkʼuupʼpʼe\t-e 2\thiɗɗi\t-oommo
XV000608,sid,tini bunʧo danʧa gede laaltino,tin\t-i\tbunʧ\t-o\tdanʧa gede\tlaal\t-tino,this\tNOM\tcoffee-tree\tNOM\twell\tbear_fruit\tPST.IMPF.3T,This coffee-tree has borne a lot of fruit,,,VII 21-24,,SN002057,pro\tn:Any\tn\tn:Any\tadverbial\tv\ttam,tini\t-i 5\tbunʧo\t-o 2\tdanʧa gede\tlaali\t-tino
XV000609,sid,ʧʼeʔiʧʧu bubbete ʔaana laba yi,ʧʼeʔiʧʧ\t-u\tbubb\t-e\t-te\tʔaan\t-a\tlaba y\t-i,bird\tNOM.U\tstrong_wind\tOBL\tDAT.U\ttopside\tACC\tflap\t,The bird flapped (its wings) in the wind,,,XIII 5-9,,SN002065 ; SN003024,n\tn:Any\tn\tn:Any\tcase\tn\tn:Any\tv\tv:Any,ʧʼeʔiʧʧo\t-u 3\tbubbe\t-e 5\t-te 6\tʔaana 1\t-a 1\tlaba yi\t-í
XV000610,sid,ʔoosoʔya giddo mittu labbaaho,ʔooso\t-ʔya\tgidd\t-o\tmitt\t-u\tlabbaa\t-ho,children\t1SG.POSS\tinside\tACC\tone\tNOM.U\tmale\tCOP,Among my children one is male,,,II 8-1A,,SN002067,n\tPronoun\tn\tn:Any\tnumeral\tn:Any\tn\tcopula,ʔooso\t-ʔya\tgiddo 2\t-o 1\tmitto\t-u 3\tlabbaa\t-ho 2
XV000611,sid,ʔanninke labballo ledo hasaabanno,ʔann\t-i\t-nke\tlabball\t-o\tledo\thasaab\t-anno,father\tNOM.MOD\t1PL.POSS\tmale_persons\tGEN\ttogether_with\t\tIMPF.3K,Our father talks with the boys,,,VII 2-6,,SN002067,n\tn:Any\tPronoun\tn\tn:Any\tpostposition\tv\tv:Any,ʔanna\t-i 3\t-nke 2\tlabballo\t-o 5\tledo 3\thasaabi\t-anno
XV000612,sid,teʧʧo daannoha labinoʔe,teʧʧ\t-o\tda\t-anno\t-ha\tlab\t-ino\t-ʔe,today\tACC\tcome\tIMPF.3K\tNR.K.ACC\tresemble\tPST.IMPF.3K\t1SG.ACC/DAT,It seemed to me that he would come today (lit. He appeared to me someone who comes today),,,II 10-8,,SN002071,n\tn:Any\tv\tv:Any\tv>n\tv\tv:Any\tPronoun,teʧʧo\t-o 1\tdaí\t-anno\t-ha\tlabi\t-ino\t-ʔe
XV000613,sid,hatti hakʼkʼiʧʧo ma labbanno?,hatt\t-i\thakʼkʼiʧʧ\t-o\tma\tlab\t-tanno\t?,that_(medial)\tNOM.MOD\tfirewood\tNOM\twhat\tresemble\tPST.IMPF.3T\t,What is that tree like? / What does it resemble?,,,I 16-6,,SN002071,pro\tn:Any\tn\tn:Any\tpro\tv\tv:Any\t,hatti\t-i 3\thakʼkʼiʧʧo\t-o 2\tma\tlabi\t-tanno 2\t
XV000614,sid,budenna ʤirte labinsanni diragiʔneemmo,bude\t-nna\tʤirt\t-e\tlabin\t-na\t-nni\tdi=\tragiɗi\t-neemmo,custom\tand\tlaw\tACC\tpretend\tPART.1PL\tABL\tNEG=\tinherit\tIMPF.1PL,We don´t inherit (their property) by using law and order as a pretext,,,"III 13-6, 7",,SN002072,n\tconjunction\tn\tn:Any\tv\tv:Any\tcase\tprefix\tv\tv:Any,bude\t-nna 1\tʤirte\t-e 2\tlabinsi\t-na 3\t-nni 1\tdi=\tragiɗi\t-neemmo 2
XV000615,sid,laga haɗeemmo,lag\t-a\thaɗ\t-eemmo,valley\tACC\tgo\tIMPF.1SG.M,I go down into the valley,,,,,SN002079,n\tn:Any\tv\tv:Any,laga\t-a 1\thaɗi\t-eemmo
XV000616,sid,lagu ʔeelira haɗeemmo,lag\t-u\tʔeel\t-i\t-ra\thaɗ\t-eemmo,valley\tNOM.U\tpond\tOBL\tDAT\tgo\tIMPF.1SG.M,I go down to pond in the valley,,,III 26-7,,SN002079,n\tn:Any\tn\tn:Any\tcase\tv\tv:Any,laga\t-u 3\tʔeela\t-i 1\t-ra 1\thaɗi\t-eemmo
XV000617,sid,lainkiidi barra,lainkiid\t-i\tbarr\t-a,second\tOBL\tday\tACC,the day after,,,IX 36-8,,SN002082,adjective\tn:Any\tn\tn:Any,lainkiidi\t-i 1\tbarra\t-a 1
XV000618,sid,ʔise lalo tʼuurtanno,ʔis\t-e\tlal\t-o\ttʼuur\t-tanno,3T\tNOM\tcattle\tACC\tmilk\tPST.IMPF.3T,She will milk the cows,,,I 2-9,,SN002086,pro\tn:Any\tn\tn:Any\tv\tv:Any,ʔise 1\t-e 4\tlalo\t-o 1\ttʼuuri\t-tanno 2
XV000619,sid,woʔmanta sette,woʔm\t-a\t-nta\tsett\t-e,all\tACC\tNR.T.ACC\tweek\tACC,every week,,,I 24-2,,SN002087,adjective\tn:Any\tn:Any\tn\tn:Any,woʔma\t-a 1\t-nta 2\tsette 1\t-e 2
XV000620,sid,leainaʃoole,leaina\tʃoole,sixty-and_…\tfour,sixty-four,,,I 29-22,,SN002102,numeral\tnumeral,leaina\tʃoole
XV000621,sid,wole ʧʼoe ledde kaʔʔe kuliʔe,wol\t-e\tʧʼo\t-e\tled\t-te\tkaʔ\t-te\tkul\t-i\t-ʔe,other\tACC\tmatter\tACC\tadd\tCVB.2SG\trise\tCVB.2SG\ttell\tIMP.SG\t1SG.ACC/DAT,Tell me some additional thing!,,,I 38-7,,SN002107,adjective\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any\tv\tv:Any\tPronoun,wole\t-e 2\tʧʼoe\t-e 2\tledi\t-te 9\tkaʔi\t-te 9\tkuli\t-i 2\t-ʔe
XV000622,sid,ledo haʔneemmo,ledo\thaʔ\t-neemmo,together_with\tgo\tIMPF.1PL,We will go together,,,II 29-2,,SN002109,postposition\tv\tv:Any,ledo 3\thaɗi\t-neemmo 2
XV000623,sid,ledosi,ledo\t-si,together_with\t3K.POSS,together with him,,,VI 4-14,,SN002112,postposition\tPronoun,ledo 3\t-si 1
XV000624,sid,hakko tʼabi ʔaana mai leellannohe?,hakk\t-o\ttʼab\t-i\tʔaan\t-a\tma\t-i\tleell\t-anno\t-he\t?,that_(medial)\tOBL\tfield\tGEN.MOD\ttopside\tACC\twhat\tNOM.MOD\tappear\tIMPF.3K\t2SG.ACC/DAT\t,What appears to you in that field?,,,I 16-5,,SN002117,pro\tn:Any\tn\tn:Any\tn\tn:Any\tpro\tn:Any\tv\tv:Any\tPronoun\t,hakko\t-o 3\ttʼabo\t-i 4\tʔaana 1\t-a 1\tma\t-i 3\tleelli\t-anno\t-he\t
XV000625,sid,tʼini misile leelliʃʃannohu kuni manʧi heeʃʃo hittota ʔikkitinorooti,tʼini\tmisil\t-e\tleelliʃ\t-tanno\t-hu\tkun\t-i\tmanʧ\t-i\theeʃʃ\t-o\thiitt\t-o\t-ta\tʔikk\t-i\t-tino\t-ro\t-o\t-ti,this\tpicture\tNOM\tshow\tPST.IMPF.3T\tNR.K.NOM\tthis\tOBL\tman\tGEN.MOD\tlife\tNOM\thow\tACC\tNR.T.ACC\tbe\tEV\tPST.IMPF.3T\tCOND\tACC\tCOP,What this picture shows is how the life of this man was,,,IV 1-2,,SN002119,pro\tn\tn:Any\tv\tv:Any\tv>n\tpro\tn:Any\tn\tn:Any\tn\tn:Any\tpro\tn:Any\tv>n\tv\tAttaches to any category\ttam\tsubordinator\tn:Any\tcopula,tini\tmisile\t-e 4\tleelliʃi\t-tanno 2\t-hu\tkonne 2\t-i 1\tmanʧo\t-i 4\theeʃʃo\t-o 2\thiitto\t-o 1\t-ta 1\tʔikki 1\t-V\t-tino\t-ro\t-o 1\t-ti 1
XV000626,sid,leeʃi yanna wosinu dai,leeʃ\t-i\tyann\t-a\twosin\t-u\tda\t-i,evening\tGEN\ttime\tACC\tguests\tNOM.U\tcome\tPRF.3K,By dusk-time the guests came,,,VII 20-2,,SN002125,n\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any,leeʃo\t-i 4\tyanna\t-a 1\twosina\t-u 3\tdaí\t-í
XV000627,sid,leetʼalla haɗi,leetʼ\t-a\t=lla\thaɗ\t-i,"without_saddle,_load,_burden\tACC\t=fortunately\tgo\tPRF.3K",He (the horse) went away without saddle,,,XXII 24-7,,SN002127,adjective\tn:Any\tpragmatic\tv\tv:Any,leetʼa\t-a 1\t=lla\thaɗi\t-í
XV000628,sid,hutʼunturu ʔaaninni lelʧote guma ditʼinkʼinanni,hutʼuntur\t-u\tʔaan\t-i\t-nni\tlelʧ\t-o\t-te\tgum\t-a\tdi=\ttʼinkʼi\t-nanni,thornbush\tGEN.U\ton\tOBL\tABL\tedible_fruit\tOBL\tGEN.U\tfruits\tACC\tNEG=\tpick_up\tIMPF.US,One does not pick edible fruits from a thornbush,,,IX 35-10,,SN002131,n\tn:Any\tpostposition\tn:Any\tcase\tn\tn:Any\tcase\tn\tn:Any\tprefix\tv\tv:Any,hutʼuntʼure\t-u 4\tʔaana 2\t-i 1\t-nni 1\tlelʧo\t-o 3\t-te 4\tgumma\t-a 1\tdi=\ttʼinki\t-nanni
XV000629,sid,leminaamite,lemina\t-a\tmite,twenty-and_…\tEV\tone,twenty-one,,,I 29-14,,SN002134,numeral\tAttaches to any category\tnumeral,lemina\t-V\tmite
XV000630,sid,ʔillekki lipʼpʼi ʔassite fani,ʔill\t-e\t-kki\tlipʼpʼi ʔass\t-i\t-te\tfan\t-i,eye(s)\tACC\tnot\tdo_quickly\tEV\tCVB.2SG\topen\tIMP.SG,Open your eyes quickly,,,IX 3-41,,SN002147,n\tn:Any\tnegativizer\tv\tAttaches to any category\tv:Any\tv\tv:Any,ʔille\t-e 2\t-kki 1\tlipʼpʼi ʔassi\t-V\t-te 9\tfani\t-i 2
XV000631,sid,litʼtʼi yaannohe?,litʼtʼi y\t-a\t-anno\t-he\t?,understand\tEV\tIMPF.3K\t2SG.ACC/DAT\t,Do you understand?,,,XVIII 12-31,,SN002154,v\tAttaches to any category\tv:Any\tPronoun\t,litʼtʼi yi\t-V\t-anno\t-he\t
XV000632,sid,tinilla danʧa diʔikkitino,tini\t=lla\tdanʧ\t-a\tdi=\tʔikk\t-i\t-tino,this\t=fortunately\tgood\tACC\tNEG=\tbe\tEV\tPST.IMPF.3T,But this was not in order,,,II 28-10,,SN002156,pro\tpragmatic\tadjective\tn:Any\tprefix\tv\tAttaches to any category\ttam,tini\t=lla\tdanʧa\t-a 1\tdi=\tʔikki 1\t-V\t-tino
XV000633,sid,ʔaeetilla,ʔa\t-e\t-e\t-ti\t=lla,who\tACC\tEV\tCOP\t=fortunately,"Oh, how nice; it's you!",,,XV 44-26,,SN002156,pro\tn:Any\tAttaches to any category\tcopula\tpragmatic,ʔae 1\t-e 2\t-V\t-ti 1\t=lla
XV000634,sid,keereholla,keer\t-e\t-ho\t=lla,peace\tACC\tDAT.U\t=fortunately,"Fortunately, there is peace (answer in greeting exchange)",,,III 55A-4,,SN002156,n\tn:Any\tcase\tpragmatic,keere\t-e 2\t-ho 1\t=lla
XV000635,sid,waainna lolahu lolahi,wa\t-a\t-i\t-nna\tlolah\t-u\tlolah\t-i,water\tEV\tNOM\tand\tinundation\tNOM.U\tflood\tPRF.3K,Water and inundation flooded,,,XIV 14-48,,SN002164,n\tAttaches to any category\tn:Any\tconjunction\tn\tn:Any\tv\tv:Any,wa\t-V\t-i 5\t-nna 1\tlolahe\t-u 3\tlolahi\t-í
XV000636,sid,wotʼunni loosiisiɗatto manninni mittu gede ʔassite kiiriʔe,wotʼ\t-u\t-nni\tloosiisiɗ\t-atto\tmann\t-i\t-nni\tmitt\t-u\tged\t-e\tʔass\t-i\t-te\tkiir\t-i\t-ʔe,money\tNOM.U\tABL\temploy\tIMPF.2M\tpeople\tOBL\tABL\tone\tGEN.U\tlikeness\tACC\tdo\tEV\tCVB.2SG\tcount\tIMP.SG\t1SG.ACC/DAT,Count me as one of the men you employ,,,VI 2-21,,SN002171,n\tn:Any\tcase\tv\tv:Any\tn\tn:Any\tcase\tnumeral\tn:Any\tn\tn:Any\tv\tAttaches to any category\tv:Any\tv\tv:Any\tPronoun,wotʼe\t-u 3\t-nni 1\tloosisiɗi\t-atto\tmanna\t-i 1\t-nni 1\tmitto\t-u 4\tgede 2\t-e 2\tʔassi\t-V\t-te 9\tkiiri\t-i 2\t-ʔe
XV000637,sid,ʔisihu loosu maati,ʔise\t-hu\tloos\t-u\tma\t-a\t-a\t-ti,3K\tNR.K.GEN\twork\tNOM.U\twhat\tACC\tEV\tCOP,What is his work?,,,I 2-3,,SN002172,pro\tv>n\tn\tn:Any\tpro\tn:Any\tAttaches to any category\tcopula,ʔise 2\t-hu\tlooso\t-u 3\tma\t-a 1\t-V\t-ti 1
