ID,Language_ID,Headword,Part_Of_Speech,Construction,Entry_IDs,Etymology,Gloss,Morpheme_Breaks,Morphological_Structure,Official_Orthography,Type,Variant_Form
LX000873,sid,kʼitʼtʼeessi,Verb,,,,be.ready-TR-,kʼitʼtʼ-eess-,KiTT-eess (TR)-,qixxeessi,CAUS,
LX000874,sid,kʼitʼtʼeessiɗi,Verb,,,,be.ready-TR-AB-,kʼitʼtʼ-eess-iɗ-,KiTT-eess (TR)-iD (AB)-,qixxeessi’ri,AB,
LX000875,sid,kʼobboʔo,Noun,,,,,,,qobbo’’o,T (FEM),
LX000876,sid,kʼoɗɗi,Verb,,,,money.purse.kept.under.belt-DER.AB-,kʼor(a)-ɗ-,Kor(a)-D (DER.AB)-,qodhi,AB,
LX000877,sid,kʼoɗɗo,Noun,,,,,,,qodho,T (FEM),
LX000878,sid,kʼofiʧʧo,Noun,,,,,,,qofichcho,T (FEM),
LX000879,sid,kʼokʼkʼi,Verb,,,,,,,qoqqi,,
LX000880,sid,kʼokʼkʼoba,Noun,,,,,,,qoqqowa,K (MASC),
LX000881,sid,kʼokʼkʼobi,Verb,,,,,,,qoqqowi,,
LX000882,sid,kʼola,Noun,,,,,,,qola,T (FEM),
LX000883,sid,kʼoli,Verb,,,,,,,qoli,,
LX000884,sid,kʼolo,Noun,,,,,,,qolo,T (FEM),
LX000885,sid,kʼolsiisi,Verb,,,,turn-CAUS-,kʼol-siis-,Kol-siis (CAUS)-,qolsiisi,CAUS,
LX000886,sid,kʼolʧami,Verb,,,,turn-CAUS-PAS-,kʼol-ʧ-am-,Kol-c (CAUS)-am (PAS)-,qolchami,PAS,
LX000887,sid,kʼolʧo,Noun,,,,,,,qolcho,K (MASC),
LX000888,sid,kʼontʼoori,Verb,,,,,,,qonxoori,,
LX000889,sid,kʼookʼi,Verb,,,,,,,qooqi,,
LX000890,sid,kʼoola,Noun,,,,,,,qoola,K (MASC),
LX000891,sid,kʼoomami,Verb,,,,bring.calamity-PAS,kʼoom-am,Koom-am (PAS),qoomami,PAS,
LX000892,sid,kʼoomi,Verb,,,,,,,qoomi,,
LX000893,sid,kʼoonʧo,Noun,,,,calabashes-SGLT,kʼoon-ʧo,Koon-co (SGLT),qooncho,K (MASC),
LX000894,sid,kʼoori,Verb,,,,,,,qoori,,
LX000895,sid,kʼoosi,Verb,,,,,,,qoosi,,
LX000896,sid,kʼoossa,Noun,,,,joke-DER,kʼoos-sa,Koos-sa (DER),qoossa,T (FEM),
LX000897,sid,kʼooʧʼa,Noun,,,,,,,qooca,T (FEM),
LX000898,sid,kʼora,Noun,,,,,,,qora,K (MASC),
LX000899,sid,kʼore,Noun,,,,,,,qore,T (FEM),
LX000900,sid,kʼori,Verb,,,,,,,qori,,
LX000901,sid,kʼorkʼi,Verb,,,,,,,qorqi,,
LX000902,sid,kʼorkʼori,Verb,,,,enquire-REDUPL-,kʼor-kʼor-,Kor-Kor (REDUPL)-,qorqori,,
LX000903,sid,kʼorobami,Verb,,,,be.careful-PAS,kʼorob-am,Korob-am (PAS),qorowami,PAS,
LX000904,sid,kʼorobi,Verb,,,,,,,qorowi,,
LX000905,sid,kʼoromoddi,Verb,,,,,,,qoromoddi,,
LX000906,sid,kʼoropʼpʼi,Verb,,,,be.careful-AB-,kʼorob-ɗ-,Korob-D (AB)-,qorophi,AB,
LX000907,sid,kʼorreessa,Noun,,,,beat.ear-DER,kʼorr(i)-eessa,Korr(i)-eessa (DER),qorreessa,K (MASC),
LX000908,sid,kʼorri,Verb,,,,,,,qorri,,
LX000909,sid,kʼote,Noun,,,,,,,qote,K (MASC) ; K (MASC) ; K (MASC),
LX000910,sid,kʼote,postposition,,,,,,,qote,,
LX000911,sid,kʼoti,Verb,,,,,,,qoti,,
LX000912,sid,kʼoʧʼʧʼa,Noun,,,,,,,qocca,T (FEM),
LX000913,sid,kʼotto,Noun,,,,,,,qotto,T (FEM),
LX000914,sid,kʼoʔli,Verb,,,,turn-AB-,kʼol-ɗ-,Kol-D (AB)-,qo’li,AB,
LX000915,sid,kʼubbe,Noun,,,,,,,qubbe,T (FEM),
LX000916,sid,kʼubbiʧʧo,Noun,,,,fingers-SGLT-,kʼubb(e)-iʧʧo-,Kubb(e)-icco (SGLT),qubbichcho,K (MASC),
LX000917,sid,kʼufi,Verb,,,,,,,qufi,,
LX000918,sid,kʼufisi,Verb,,,,be.moist-CAUS-,kʼuf-is-,Kuf-is (CAUS)-,qufisi,CAUS,
LX000919,sid,kʼufiʧʧo,Noun,,,,be.moist-DER.SGLT,kʼuf-iʧʧo,Kuf-icco (DER.SGLT),qufichcho,K (MASC),
LX000920,sid,kʼullaaba,adjective,,,,,,,qullaawa,,
LX000921,sid,kʼullaabi,Verb,,,,be.threshed-INTR,kʼull-aab,Kull-aab (INTR),qullaawi,,
LX000922,sid,kʼullaabimma,Noun,,,,be.threshed-ABSTR,kʼullaab-imma,Kullaab-imma (ABSTR),qullaawimma,T (FEM),
LX000923,sid,kʼullaaboota,Noun,,,,clean-PL,kʼullaab(a)-oota,Kullaab(a)-oota (PL),qullaawoota,K (MASC),
LX000924,sid,kʼulleessi,Verb,,,,be.threshed-TR,kʼull-eess,Kull-eess (TR.V),qulleessi,,
LX000925,sid,kʼulli yi,Verb,,,,IDEO say,kʼulli y-,,qulli yi,COMP,
LX000926,sid,kʼultʼuʔme,Noun,,,,,,,qulxu’me,T (FEM),
LX000927,sid,kʼummi ʔassi,Verb,,,,IDEO do,kʼummi ʔass-,,qummi assi,COMP,
LX000928,sid,kʼurda,Noun,,,,,,,qurda,K (MASC),
LX000929,sid,kʼurra,Noun,,,,,,,qurra,K (MASC),
LX000930,sid,kʼurʃo,Noun,,,,,,,qursho,T (FEM),
LX000931,sid,kʼuruutʼi,Verb,,,,,,,quruuxi,,
LX000932,sid,kʼutʼi,Verb,,,,,,,quxi,,
LX000933,sid,kʼutʼiɗi,Verb,,,,sharpen-AB-,kʼutʼ-iɗ-,KuT-iD (AB)-,quxi’ri,AB,
LX000934,sid,kʼuupʼpʼe,Noun,,,,,,,quuphe,K (MASC),
LX000935,sid,kʼuupʼpʼiʧʧo,Noun,,,,eggs-SGLT,kʼuupʼpʼ(e)-iʧʧo,KuuPP(e)-icco (SGLT),quuphichcho,K (MASC),
LX000936,sid,kʼuursi,Verb,,,,burn-CAUS-,kʼuur-s-,Kuur-s (CAUS)-,quursi,CAUS,
LX000937,sid,kʼuutti yi,Verb,,,,IDEO say,kʼuutti y-,,quutti yi,COMP,
LX000938,sid,kʼuʔlubbi yi,Verb,,,,IDEO say,kʼuʔlubbi y-,,qu’lubbi yi,COMP,
LX000939,sid,kʼuʔne,Noun,,,,,,,qu’ne,T (FEM) ; T (FEM),
LX000940,sid,laakʼi,Verb,,,,,,,laaqi,,
laalaati,sid,laalaati,Verb,,,,,,,laalaati,,
laali,sid,laali,Verb,,,,,,,laali,,
laalo,sid,laalo,Noun,,,,,,,laalo,T (FEM),
LX000941,sid,laalʧo,Noun,,,,fruit-SGLT,laal(o)-ʧo,laal(o)-co (SGLT),laalcho,K (MASC),
laamba,sid,laamba,Noun,,,,,,,laamba,K (MASC),
LX000942,sid,laanʃaaba,Noun,,,,,,,laanshaawa,K (MASC),
LX000943,sid,laanʃaabi,Verb,,,,,,,laanshaawi,,
LX000944,sid,laaʃʃi,Verb,,,,bear.fruit-CAUS-,laal-s-,laal-s (CAUS)-,laashshi,CAUS,
LX000945,sid,laatʼi,Verb,,,,,,,laaxi,,
laba_yi,sid,laba yi,Verb,,,,IDEO say,laba y-,,lawa yi,COMP,
labbaa,sid,labbaa,Noun,,,,,,,labbaa,K (MASC),
labballo,sid,labballo,Noun,,,,male-PL-,labb(aa)-allo,labb(aa)-allo (PL),labballo,K (MASC),
labe_leellannonke,sid,labe leellannonke,MWE,,,,resemble-CVB.3K appear-IMPF.3K-1PL.DO,lab-e lell-anno-nke,lab-e (CVB.3K) lell-anno (IMPF.3K)-nke (1PL.DO),lawe leellannonke,,
labe_lellannohe,sid,labe lellannohe,MWE,,,,resemble-CVB.3K appear-IMPF.3K-2SG.DO,lab-e leell-anno-he,lab-e (CVB.3K) leell-anno (IMPF.3K)-he (2SG.DO),lawe leellannohe,,
labi,sid,labi,Verb,,,,,,,lawi,,
labinsi,sid,labinsi,Verb,,,,resemble-CAUS-,lab-is-,lab-is (CAUS)-,lawisi,CAUS,
LX000946,sid,labiʃʃa,Noun,,,,resemble-CAUS-DER,lab-is-ʃa,lab-is (CAUS)-Sa (DER),lawishsha,K (MASC),
laddi,sid,laddi,Verb,,,,,,,laddi,,
LX000947,sid,lafiʧʧo,Noun,,,,childless-SGLT,laf(o)-iʧʧo,laf(o)-icco (SGLT),lafichcho,T (FEM) ; K (MASC),
LX000948,sid,lafiʧʧu ʔaidde,Noun,,,,childless-GEN family,lafiʧʧ-u ʔaidde,laficc ('childless')-u (GEN) xaidde,lafichchu ayidde,K (MASC),
laga,sid,laga,Noun,,,,,,,laga,K (MASC),
LX000949,sid,laiɗi,Verb,,,,see-AB-,la(ʔ)-iɗ-,la(x)-iD (AB)-,layi’ri,AB,
lainki,sid,lainki,adjective,,,,two-DER,la(me)-inki,la(me)-inki (DER),layinki,,
lainkiidi,sid,lainkiidi,adjective,,,,two-DER-DER,la(me)-ink(i)-iidi,la(me)-ink(i) (DER)-iidi (DER),layinkiidi,,
LX000950,sid,lainkimeeʃʃo,adverbial,,,,second-DER,lainki-meeʃʃo,lainki-meeSSo (DER),layinkimeeshsho,,
lainkita_hige,sid,lainkita hige,adverbial,,,,second-NR.T.ACC return-CVB,lainki-ta (ɲR.tʼ.Aʧʼʧʼ) hig-e,lainki-ta (NR.T.ACC) hig-e (CVB),layinkita hige,,
lallabi,sid,lallabi,Verb,,,,,,,lallawi,,
lalo,sid,lalo,Noun,,,,,,,lalo,K (MASC),
lamala_1,sid,lamala,Noun,,,,,,,lamala,T (FEM),
lamala_2,sid,lamala,numeral,,,,,,,lamala,,
lamalao,sid,lamalao,numeral,,,,seven-DER,lamala-o,lamala-o (DER),lamalayo,,
lamalki,sid,lamalki,adjective,,,,seven-DER,lamal(a)-ki,lamal(a)-ki (DER),lamalki,,
lame,sid,lame,numeral,,,,,,,lame,,
lammiso,sid,lammiso,proper noun,,,,,,,lammiso,,
langanno,sid,langanno,proper noun,,,,,,,langanno,,
lassi,sid,lassi,Verb,,,,,,,lassi,,
lasso,sid,lasso,Noun,,,,,,,lasso,T (FEM),
lati,sid,lati,Verb,,,,,,,lati,,
LX000951,sid,laʔi,Verb,,,,,,,la’i,,
LX000952,sid,laʔma,Noun,,,,,,,la’ma,K (MASC),
LX000953,sid,laʔo,Noun,,,,,,,lao,T (FEM),
leaina,sid,leaina,numeral,,,,six-DER-and,le(e)-a(o)-ina,le(e)-a(o) (DER)-ina ('and'),leyayina,,
leao,sid,leao,numeral,,,,six-DER,le(e)-ao,le(e)-ao (DER),leyayo,,
ledami,sid,ledami,Verb,,,,add-PAS-,led-am-,led-am (PAS)-,ledami,PAS,
lede,sid,lede,adverbial,,,,add-CVB,led-e,led-e (CVB),lede,,
LX000954,sid,lede kaʔe,adverbial,,,,add-CVB rise-CVB,led-e kaʔ-e,led-e (CVB) kax-e (CVB),lede kae,,
lede_lede,sid,lede lede,adverbial,,,,add-CVB REDUPL,led-e lede,led-e (CVB) lede (REDUPL),lede lede,,
ledi,sid,ledi,Verb,,,,,,,ledi,,
ledisiisi,sid,ledisiisi,Verb,,,,add-CAUS-,led-isiis-,led-isiis (CAUS)-,ledisiisi,CAUS,
ledo_1,sid,ledo,adverbial,,,,,,,ledo,,
ledo_2,sid,ledo,Noun,,,,,,,ledo,T (FEM),
ledo_3,sid,ledo,postposition,,,,,,,ledo,,
lee,sid,lee,numeral,,,,,,,lee,,
leegamo,sid,leegamo,proper noun,,,,,,,leegamo,,
leeikki,sid,leeikki,adjective,,,,six-DER,lee-ikki,lee-ikki (DER),leeyikki,,
leellami,sid,leellami,Verb,,,,appear-PAS-,leell-am-,leell-am (PAS)-,leellami,PAS,
leelli,sid,leelli,Verb,,,,,,,leelli,,
LX000955,sid,leelliʃi,Verb,,,,appear-CAUS-,leell-is-,leell-is (CAUS)-,leellishi,CAUS,
LX000956,sid,leelliʃiɗi,Verb,,,,appear-CAUS-AB-,leell-is-iɗ-,leell-is (CAUS)-iD (AB)-,leellishi’ri,AB,
leemma,sid,leemma,Noun,,,,,,,leemma,T (FEM),
LX000957,sid,leenʤiʃi,Verb,,,,tame-CAUS-,leenʤ-is-,leenj-is (CAUS)-,leenjishi,CAUS,
LX000958,sid,leenʤiʃiɗi,Verb,,,,tame-CAUS-AB,leenʤ-is-iɗ,leenj-is (CAUS)-iD (AB),leenjishi’ri,AB,
LX000959,sid,leenkʼisami,Verb,,,,,,,leenKisami,PAS,
LX000960,sid,leeʃo,Noun,,,,,,,leesho,K (MASC),
LX000961,sid,leeʃʃi yi,Verb,,,,IDEO say,leeʃʃi y-,,leeshshi yi,COMP,
LX000962,sid,leetʼa,adjective,,,,,,,leexa,,
lekka,sid,lekka,Noun,,,,,,,lekka,T (FEM),
LX000963,sid,lekka doonʃe,Noun,,,,,,,lekka doonshe,K (MASC),
lekkallo,sid,lekkallo,Noun,,,,foot-DER,lekk(a)-allo,lekk(a)-allo (DER),lekkallo,T (FEM),
LX000964,sid,lelʧo,Noun,,,,testicles.edible.fruits-SGLT,lel(a)-ʧo,lel(a)-co (SGLT),lelcho,T (FEM),
lemboola,sid,lemboola,Noun,,,,,,,lemboola,K (MASC),
lemina,sid,lemina,numeral,,,,twenty-and,lem(o)-ina,lem(o)-ina ('and'),lemina,,
lemo,sid,lemo,numeral,,,,,,,lemo,,
lenda,sid,lenda,proper noun,,,,,,,lenda,,
LX000965,sid,lenkʼe yi,Verb,,,,IDEO say,lenkʼe y-,,lenqe yi,COMP,
LX000966,sid,letʼtʼi,Verb,,,,add-AB-,led-ɗ-,led-D (AB)-,lexxi,AB,
LX000967,sid,leʔate,adjective,,,,,,,leate,,
LX000968,sid,leʔote,adjective,,,,,,,leote,,
liisi,sid,liisi,Verb,,,,,,,liisi,,
likke,sid,likke,adjective,,,Amharic lïkk 'correct',,,,likke,,
LX000969,sid,likʼiiɗi,Verb,,,,loan-AB,likʼi-iɗ,liKi-iD (AB),liqii’ri,AB,
LX000970,sid,likʼiissi,Verb,,,,loan-AB-CAUS-,likʼi-iɗ-s-,liKi-iD (AB)-s (CAUS)-,liqiissi,CAUS,
LX000971,sid,likʼoo,Noun,,,,loan-DER,likʼ(i)-o,liKo-o (DER),liqoo,K (MASC),
LX000972,sid,limitʼe,Noun,,,,,,,limixe,T (FEM),
LX000973,sid,lipʼpʼeessa,Noun,,,,blink-DER,lipʼpʼ(i)-eessa,liPP(i)-eessa (DER),lipheessa,K (MASC),
LX000974,sid,lipʼpʼi ʔassi,Verb,,,,IDEO do,lipʼpʼi ʔass-,,liphi assi,COMP,
LX000975,sid,liʃʃi ʔassi,Verb,,,,IDEO do,liʃʃi ʔass-,,lishshi assi,COMP ; COMP,
LX000976,sid,liʧʧe,Noun,,,,,,,lichche,T (FEM),
LX000977,sid,litʼa,Noun,,,,,,,lixa,K (MASC),
LX000978,sid,litʼi,Verb,,,,,,,lixi,,
LX000979,sid,litʼtʼi yi,Verb,,,,IDEO say,litʼtʼi y-,,lixxi yi,COMP,
LX000980,sid,=lla,pragmatic,,,,,,,=lla,,
lobiidi,sid,lobiidi,adjective,,,,big-DER,lob(o)-iidi,lob(o)-iidi (DER),lowiidi,,
lobo,sid,lobo,adjective,,,,,,,lowo,,
lobo_gede,sid,lobo gede,adverbial,,,,big like,lobo gede,lobo gede ('likeness'),lowo gede,,
LX000981,sid,lobo geeʃʃa,adverbial,,,,big size,lobo geeʃʃa,lobo geeSSa,lowo geeshsha,,
lolahe,sid,lolahe,Noun,,,,,,,lolahe,K (MASC),
lolahi,sid,lolahi,Verb,,,,,,,lolahi,,
loosaasine,sid,loosaasine,Noun,,,,work-AG-PL,loos-aasin-e,loos-aasin (AGNT)-e (PL),loosaasine,T (FEM),
LX000982,sid,loosaasinʧo,Noun,,,,work-AG-SGLT,loos-aasin-ʧo,loos-aasin (AGNT)-co (SGLT),loosaasincho,K (MASC),
loosi,sid,loosi,Verb,,,,,,,loosi,,
LX000983,sid,loosiɗi,Verb,,,,work-AB-,loos-iɗ-,loos-iD (AB)-,loosi’ri,AB,
LX000984,sid,loosisiɗi,Verb,,,,work-CAUS-AB-,loos-is-iɗ-,loos-is (CAUS)-iD (AB)-,loosisi’ri,AB,
looso,sid,looso,Noun,,,,,,,looso,K (MASC),
LX000985,sid,lopʼpʼi,Verb,,,,become.big-AB-,lob-ɗ-,lob-D (AB)-,lophi,AB,
lossi,sid,lossi,Verb,,,,big-VBLZ-,lob(o)-s-,lob(o)-s (VBLZ)-,lossi,,
LX000986,sid,lossiɗi,Verb,,,,become.big-CAUS-AB-,lob-s-iɗ-,lob-s (CAUS)-iD (AB)-,lossi’ri,AB,
luba,sid,luba,Noun,,,,,,,luwa,K (MASC),
lubbaamo,sid,lubbaamo,Noun,,,,soul-DER-DER,lubb(o)-aam-o-,lubb(o)-aam (DER)-o (DER),lubbaamo,K (MASC),
LX000987,sid,lubbaaʔmi,Verb,,,,soul-DER-AB-,lubb(o)-aam-ɗ-,lubb(o)-aam (DER)-D (AB)-,lubbaa’mi,AB ; AB,
lubbo,sid,lubbo,Noun,,,,,,,lubbo,T (FEM),
LX000988,sid,lubbo haaɗi,Verb,,,,soul take.along,lubbo haaɗ-,lubbo haaD ('take along')-,lubbo haa’ri,,
LX000989,sid,lubbo ʔassiɗi,Verb,,,,soul do-AB-,lubbo ʔass-iɗ-,lubbo xass-iD (AB)-,lubbo assi’ri,AB,
LX000990,sid,lubbote heeɗi,Verb,,,,soul-DAT be,lubbo-te V-,lubbo-te (DAT) V ('be'),lubbote hee’ri,,
LX000991,sid,lukkiʧʧo,Noun,,,,hens-SGLT,lukk(o)-iʧʧo,lukk(o)-icco (SGLT),lukkichcho,K (MASC)/T (FEM),
lukkuba,sid,lukkuba,Noun,,,,,,,,,
LX000992,sid,lukʼkʼisi,Verb,,,,,,,luqqisi,,
LX000993,sid,lullukʼati,Verb,,,,,,,lulluqati,,
LX000994,sid,lullukʼkʼi,Verb,,,,,,,lulluqqi,,
luluma,sid,luluma,Noun,,,,,,,luluma,K (MASC),
LX000995,sid,lutʼupʼpʼi,Verb,,,,slip.away-AB-,lutʼub-ɗ-,luTub-D (AB)-,luxuphi,AB,
luuli,sid,luuli,Noun,,,,,,,,,
luulo,sid,luulo,Noun,,,,,,,luulo,K (MASC),
luuti,sid,luuti,Verb,,,,,,,luuti,,
ma,sid,ma,Pronoun,,,,,,,ma,INTERROGATIVE,
LX000996,sid,ma geeʃʃi,adverbial,,,,what size-GEN,Iɲtʼ geeʃʃ(a)-i,ma geeSS(a)-i (GEN),ma geeshshi,,
LX000997,sid,ma geeʃʃi geeʃʃa,adverbial,,,,what size-GEN size,ma geeʃʃ(a)-i geeʃʃa,ma geeSS(a)-i (GEN) geeSSa,ma geeshshi geeshsha,,
LX000998,sid,ma geeʃʃiho,MWE,,,,what size-GEN-COP,Iɲtʼ geeʃʃ(a)-i-ho,ma geeSS(a)-i (GEN)-ho (COP),ma geeshshiho,,
ma_yanna,sid,ma yanna,adverbial,,mamoote,,what time,ma yanna,ma yanna,ma yanna,,
LX000999,sid,ma ʔainate,MWE,,,,what kind,ma ʔainate,ma xainate,ma ayinate,,
LX001000,sid,maaɗɗiʧʧo,Noun,,,,,,,maadhichcho,K (MASC),
LX001001,sid,maakʼkʼiʧʧo,Noun,,,,water.vessels-SGLT,maakʼkʼ(e)-iʧʧo,maaKK(e)-icco (SGLT),maaqqichcho,K (MASC),
maala,sid,maala,Noun,,,,,,,maala,K (MASC),
maalale,sid,maalale,Noun,,,,,,,maalale,T (FEM),
LX001002,sid,maalaʔli,Verb,,,,miracle-DER.AB-,maalal(e)-ɗ-,maalal(e)-D (DER.AB)-,maala’li,AB,
maamara,sid,maamara,Noun,,,Amharic mahïbär 'association',,,,maamara,K (MASC),
maammahi,sid,maammahi,Verb,,,,,,,maammahi,,
LX001003,sid,maammaʃʃa,Noun,,,,tell.a.proverb-DER,maammah-ʃa,maammah-Sa (DER),maammashsha,K (MASC),
maana,sid,maana,Noun,,,,,,,maana,T (FEM),
LX001004,sid,maanaaʔme,Noun,,,,accuracy-DER-AB-DER,maan(a)-aam-ɗ-e,maan(a)-aam (DER)-D (AB)-e (DER),maanaa’me,T (FEM),
maarami,sid,maarami,Verb,,,,forgive-PAS-,maar-am-,maar-am (PAS)-,maarami,PAS,
maari,sid,maari,Verb,,,,,,,maari,,
maaro,sid,maaro,Noun,,,,,,,maaro,T (FEM),
maassami,sid,maassami,Verb,,,,bless-PAS-,maass-am-,maass-am (PAS)-,maassami,PAS,
LX001005,sid,maassiɗami,Verb,,,,bless-AB-PAS-,maass-iɗ-am-,maass-iD (AB)-am (PAS)-,maassi’rami,PAS,
LX001006,sid,maassiɗi,Verb,,,,bless-AB-,maass-iɗ-,maass-iD (AB)-,maassi’ri,AB,
maasso,sid,maasso,Noun,,,,,,,maasso,T (FEM),
maataaba,sid,maataaba,Noun,,,Amharic mahïtäm 'stamp',,,,maataawa,K (MASC),
maate,sid,maate,Noun,,,,,,,maate,T (FEM),
maatto,sid,maatto,Noun,,,,,,,maatto,T (FEM),
LX001007,sid,maatʼi,Verb,,,,,,,maaxi,,
LX001008,sid,maaʔne,adjective,,,,,,,maa’ne,,
LX001009,sid,maaʔniidi,adjective,,,,younger-DER,maaʔn(e)-iidi,maaxn(e)-iidi (DER),maa’niidi,,
mada,sid,mada,Noun,,,,,,,mada,T (FEM),
madaada,sid,madaada,Noun,,,,,,,madaada,T (FEM) ; T (FEM),
LX001010,sid,madaaɗɗi,Verb,,,,bury-AB-,madaar-ɗ-,madaar-D (AB)-,madaadhi,AB,
LX001011,sid,madaanʧo,Noun,,,,wound-DER-SGLT-,mad(a)-aan-ʧo-,mad(a)-aan (DER)-co (SGLT),madaancho,K (MASC),
madaari,sid,madaari,Verb,,,,,,,madaari,,
LX001012,sid,madiɗi,Verb,,,,wound-AB-,mad-iɗ-,mad-iD (AB)-,madi’ri,AB,
LX001013,sid,madiisiɗi,Verb,,,,wound-CAUS-AB-,mad-iis-iɗ-,mad-iis (CAUS)-iD (AB)-,madiisi’ri,AB,
LX001014,sid,maʤʤa,adjective,,,,,,,majja,,
LX001015,sid,maʤʤa gede,adverbial,,,,very.rich like,maʤʤa gede,majja gede ('likeness'),majja gede,,
LX001016,sid,maɗami,Verb,,,,,,,ma’rami,,
LX001017,sid,maganaanʧo,Noun,,,,God-DER-SGLT,magan(o)-aan-ʧo,magan(o)-aan (DER)-co (SGLT),maganaancho,K (MASC),
magane,sid,magane,proper noun,,,,,,,magane,,
magani_bale,sid,magani bale,Noun,,,,God-LNK hole.in.the.earth,magan(o)-i bale,magan(o)-i (LNK) bale,magani bale,,
maganimma,sid,maganimma,Noun,,,,God-ABSTR,magan(o)-imma,magan(o)-imma (ABSTR),maganimma,T (FEM),
magano,sid,magano,Noun,,,,,,,magano,K (MASC),
LX001018,sid,maganu guʔate,Noun,,,,,,,maganu guate,,
LX001019,sid,maganu ʔoohe,MWE,,,,God-NOM give-JUS.3K-2SG.DO,magan(o)-u ʔ(u)-oo-he,magan(o)-u (NOM) x(u)-oo (JUS.3K)-he (2SG.DO),maganu oohe,,
LX001020,sid,magaɲɲiɗi,Verb,,,,supplication-DER.AB-,magaɲɲ(e)-iɗ-,magaNN(e)-iD (DER.AB)-,maganyi’ri,AB,
magarto,sid,magarto,Noun,,,,,,,magarto,T (FEM),
mahoyye_yi,sid,mahoyye yi,Verb,,,,IDEO say,mahoyye y-,,mahoyye yi,COMP,
LX001021,sid,mahoyye(na),interjection,,,,,,,mahoyye(na),,
maira,sid,maira,Pronoun,,,,what-OBL-DAT,ma-i-ra,ma-i (OBL)-ra (DAT),mayira,INTERROGATIVE,
maka,sid,maka,Noun,,,,,,,maka,K (MASC),
makeena,sid,makeena,Noun,,,Italian via Amharic mäkina 'car',,,,makeena,K (MASC)/T (FEM),
makina,sid,makina,Noun,,,,,,,,,
makkali,sid,makkali,Verb,,,,,,,makkali,,
makkaraara,sid,makkaraara,Noun,,,,,,,makkaraara,K (MASC),
makkaraari,sid,makkaraari,Verb,,,,,,,makkaraari,,
LX001022,sid,makʼali,Verb,,,,,,,maqali,,
LX001023,sid,makʼkʼallama,Noun,,,,set.a.trap-PAS-INF,makʼkʼall-am-a,maKKall-am (PAS)-a (INF=N),maqqallama,T (FEM),
LX001024,sid,makʼkʼalli,Verb,,,,,,,maqqalli,,
mala,sid,mala,Noun,,,,,,,mala,K (MASC),
malaa,sid,malaa,Noun,,,,,,,malaa,K (MASC),
malaate,sid,malaate,Noun,,,,,,,malaate,K (MASC),
malaatisi,sid,malaatisi,Verb,,,,sign-DER.CAUS-,malaat(e)-is-,malaat(e)-is (DER.CAUS)-,malaatisi,CAUS,
malaatisiisi,sid,malaatisiisi,Verb,,,,sign-DER.CAUS-,malaat(e)-isiis-,malaat(e)-isiis (DER.CAUS)-,malaatisiisi,CAUS,
malabo,sid,malabo,Noun,,,,,,,malawo,K (MASC),
LX001025,sid,malaʔla,adjective,,,,,,,mala’la,,
mali,sid,mali,Verb,,,,,,,mali,,
malladi,sid,malladi,Verb,,,,,,,malladi,,
malse,sid,malse,Noun,,,Amharic mäls 'answer',,,,malse,T (FEM),
mama,sid,mama,Pronoun,,,,,,,mama,INTERROGATIVE,
mamaro,sid,mamaro,Pronoun,,,,what-time,ma-waro,ma ('what')-waro ('time'),mamaro,INTERROGATIVE,
LX001026,sid,mamiiʧʧo,adverbial,,,,where-SGLT,mam(a)-iiʧʧo,mam(a)-iicco (SGLT),mamiichcho,,
mamoote,sid,mamoote,Pronoun,,ma_yanna,,what-time,ma-wote,ma ('what')-wote ('time'),mamoote,INTERROGATIVE,
mamootira,sid,mamootira,adverbial,,,,what-time-OBL-DAT,ma-moot(e)-i-ra,ma ('what')-moot(e) ('time')-i (OBL)-ra (DAT),mamootira,,
maniissi,sid,maniissi,Verb,,,,,,,maniissi,,
manna,sid,manna,Noun,,,,,,,manna,K (MASC),
mannimma,sid,mannimma,Noun,,,,people-ABSTR,mann(a)-imma,mann(a)-imma (ABSTR),mannimma,T (FEM) ; T (FEM),
manninaate,sid,manninaate,Noun,,,Amharic -ïnnät,people-ABSTR,mann(a)-inaate,mann(a)-inaate (ABSTR),manninaate,T (FEM),
mannu_mannimmante,sid,mannu mannimmante,MWE,,,,people-NOM/GEN manhood-DISTR,mann(a)-u mannimma-nte,mann(a)-u (NOM/GEN) mannimma-nte (DISTR),mannu mannimmante,,
mannunku_maati,sid,mannunku maati,MWE,,,,people-NOM-DISTR-NOM what-COP,mann(a)-u-nk-u ma-ati,mann(a)-u (NOM)-nk (DISTR)-u (NOM) ma (INT)-ati (COP),mannunku maati,,
LX001027,sid,manʧaame,Noun,,,,,,,manchaame,T (FEM),
LX001028,sid,manʧo,Noun,,,,people-SGLT,man(na)-ʧo,man(na)-co (SGLT),mancho,K (MASC) ; T (FEM),
LX001029,sid,maraaʧʼi,Verb,,,,,,,maraaci,,
marame,sid,marame,proper noun,,,,,,,marame,,
mararaamo,sid,mararaamo,Noun,,,,feel.compassion-AG,marar-aamo,marar-aamo (AGNT),mararaamo,K (MASC),
marari,sid,marari,Verb,,,,,,,marari,,
LX001030,sid,maratʼi,Verb,,,Amharic märrät'ä 'choose',,,,maraxi,,
mari,sid,mari,Verb,,,,,,,mari,,
